Book Name,Author,Rating,User Rates,Price
Bilgisayar Sistemleri Mimarisi,M. Morris Mano,5.0,6,92.25
Peppa Pig: Peppa’s Best Day Ever: Magnet Book,Peppa Pig,4.7,204,155.82
Clean Code: A Handbook of Agile Software Craftsmanship,Robert Martin,4.7,2382,426.47
Press Reset: Ruin and Recovery in the Video Game Industry,Jason Schreier,4.6,87,435.07
Yaşam 3.0: Yapay Zeka Çağında İnsan Olmak,Max Tegmark,4.8,57,40.2
"Computer Networking: A Top-Down Approach, Global Edition",James Kurose,4.4,87,270.0
Modern Operating Systems: Global Edition,Andrew Tanenbaum,4.1,55,275.63
"Legend Of Zelda, The: Breath Of The Wild - Creating A Champion",Nintendo,4.9,4244,354.19
Peppa Pig: Summer Fun! Sticker Activity Book,Peppa Pig,4.5,482,64.13
Peppa Pig: Yum! Yum! Yum! Sticker Activity Book,Peppa Pig,4.6,691,74.63
Yazılım Mühendisliğinde Modern Yaklaşımlar,Emin Borandağ,5.0,5,45.0
Veri Bilimi,Çiğdem Aytekin,3.3,4,48.53
Son İcadımız: Yapay Zeka ve İnsanlık Çağının Sonu,James Barrat,3.9,7,35.95
How To Be Right: … in a world gone wrong,James O'Brien,4.6,1632,48.85
Wuthering Heights,Emily Bronte,4.6,9056,116.28
Nesnelerin İnterneti: Teori ve Uygulamaları,Kerem Küçük,5.0,1,87.64
Algorithm Design: Pearson New International Edition,Jon Kleinberg,4.4,216,220.5
Elon Musk: How the Billionaire CEO of SpaceX and Tesla is Shaping our Future,Ashlee Vance,4.7,6960,128.67
The Manager`s Path,Camille Fournier,4.7,486,526.73
C İle Programlama,Paul Deitel,4.6,25,200.0
Yazılım Mühendisliği: Yazılım Mühendisliği Standartları ve Belgeleriyle,Erhan Sarıdoğan,5.0,1,125.84
"The Nft Handbook: How to Create, Sell and Buy Non-Fungible Tokens",Quharrison Terry,4.6,48,441.02
Deep Learning with R,Francois Chollet,4.6,80,651.15
Kuramsal Başlangıç,Leonard Susskind,5.0,7,37.57
Peppa Pig: Peppa Loves Animals,Peppa Pig,4.8,23,88.31
Insight Collectibles 9781608877058 Fall Out 21 cm Notebook,. Bethseda Softworks LLC (ZeniMax Media Inc),4.5,90,89.41
Derin Düşünce: Yapay Zekanın Yetmeyip İnsan Yaratıcılığının Başladığı Yer,Garry Kasparov,4.3,7,35.95
Herkes İçin Python,Bülent Çobanoğlu,5.0,1,55.5
The Time-Block Planner: A Daily Method for Deep Work,Cal Newport,4.3,94,318.57
How to Avoid a Climate Disaster: The Solutions We Have and the Breakthroughs We Need,Bill Gates,4.6,3163,186.9
Veri Madenciliği: Kavram ve Algoritmaları,Gökhan Silahtaroğlu,4.5,2,92.42
Veri Madenciliği Yöntemleri: Bilgisayar Bilimleri ve Bilgisayar Mühendisliği,Yalçın Özkan,3.1,2,87.64
"User Friendly: How the Hidden Rules of Design are Changing the Way We Live, Work & Play",Cliff Kuang,4.6,245,122.29
Veri Madenciliği Teori Uygulama ve Felsefesi,İlker Köse,4.0,1,67.93
"The Pragmatic Programmer: your journey to mastery, 20th Anniversary Edition",David Thomas,4.8,933,604.23
#NoFilter: Get Creative with Photography,Natalia Price-Cabrera,4.1,19,64.51
Peppa Pig: Practise with Peppa: Wipe-Clean First Letters,Peppa Pig,4.6,4036,98.15
The Cold Start Problem: Using Network Effects to Scale Your Business,Andrew Chen,4.6,100,475.49
"Designing Data-Intensive Applications: The Big Ideas Behind Reliable, Scalable, and Maintainable Systems",Martin Kleppmann,4.7,1473,749.99
Inspired: How to Create Tech Products Customers Love,Marty Cagan,4.7,1287,393.77
Bilgisayar Ağları ve İnternet,Douglas E. Comer,2.9,2,106.0
"The World for Sale: Money, Power and the Traders Who Barter the Earth’s Resources",Javier Blas,4.7,264,333.86
"R İle Programlama: Çözümlü Örneklerle İstatistik, Matematik, Yapay Zeka, Veri Madenciliği ve Grafik",Burak Özkan,4.0,1,87.64
"Visual C# How to Program, Global Edition",Harvey Deitel,4.2,10,166.0
Algorithms to Live By : The Computer Science of Human Decisions,Paul Finch,4.6,1342,167.12
"Eloquent Javascript, 3rd Edition: A Modern Introduction to Programming",Marijn Haverbeke,4.6,876,427.76
"Artificial Intelligence: A Modern Approach, Global Edition",Peter Norvig,4.7,39,419.1
Projeler İle Arduino Eğitim Seti (4 Kitap),Kodlab Komisyon,4.0,1,137.66
Raspberry Pi ve Python ile IoT Uygulamaları,Güray Yıldırım,4.1,2,51.69
Code Complete: A Practical Handbook of Software Construction,Steve McConnell,4.6,625,592.87
Linux & Ağ Temelleri Başucu Kitabı,Mehmet Can Hanaylı,2.5,2,59.03
The Most Human Human: What Artificial Intelligence Teaches Us About Being Alive,Brian Christian,3.9,11,187.31
Fortnite son raket paketi (Playstation 4),Warner Bros.,4.5,410,469.4
Calling Bullshit: The Art of Scepticism in a Data-Driven World,Jevin D. West,4.6,391,187.31
STM32F4 Discovery Kartı ile ARM Mikrokontrolcü Programlama,Ali Şentürk,5.0,1,52.0
BANKING ON IT: How I Disrupted an Industry and Changed the Way We Manage our Money Forever,Anne Boden,4.7,157,206.06
How to Turn Down a Billion Dollars: The Snapchat Story,Billy Gallagher,4.2,41,39.61
"Blowout: Corrupted Democracy, Rogue State Russia, and the Richest, Most Destructive Industry on Earth",Rachel Maddow,4.8,4884,206.06
Mikroişlemciler,M. Kaya Yazgan,3.0,1,51.0
Nintendo Switch Lite Taşıma Kılıfı Ve Ekran Koruyucu Animal Crossing Tema,Nintendo,4.8,6512,348.72
"Game Design Workshop: A Playcentric Approach to Creating Innovative Games: A Playcentric Approach to Creating Innovative Games, Fourth Edition",Tracy Fullerton,4.7,59,705.84
Türk Kültüründe Yönetmek: Yerel Değerlerle Küresel Başarılar Kazanmak,Acar Baltaş,5.0,2,44.2
Cuphead Volume 1: Comic Capers & Curios,Zack Keller,4.9,550,444.3
Introduction to Computer Security: Pearson New International Edition,Michael Goodrich,4.0,6,395.0
Grokking Algorithms: An illustrated guide for programmers and other curious people,Aditya Bhargava,4.6,609,469.94
Hacker: Bir Sibermafya Patronunun Gerçek Öyküsü,Kevin Poulsen,5.0,1,32.46
The Clean Coder: A Code of Conduct for Professional Programmers (Robert C. Martin),Robert Martin,4.7,526,329.79
"Uygulamalı Siber Güvenlik ve Hacking: Sanal dünya, gerçek tehditler",Mustafa Altınkaynak,4.5,2,63.3
"The World for Sale: Money, Power and the Traders Who Barter the Earth’s Resources",Javier Blas,4.7,264,499.01
"Unity 3D İle Oyun Programlama: Oku, İzle, Dinle, Öğren! İnteraktif Eğitim Videoları Kodlab Tv'de!",Timuçin Hatipoğlu,4.7,7,60.0
League of Legends: Realms of Runeterra (Official Companion),Riot Games,4.8,1674,500.34
Etik Hackerlığa Giriş: Ofansif Siber Güvenliğin ABC'si!,İsmail Bülbül,4.8,5,43.92
"Cracking the Coding Interview, 6th Edition: 189 Programming Questions and Solutions (Cracking the Interview & Career)",Gayle Laakmann McDowell,4.7,5374,658.57
God Of War: Lore And Legends,Sony Studios,4.9,731,298.9
Design Patterns: Elements of Reusable Object-Oriented Software,Erich Gamma,4.7,994,578.7
Yapay Zeka,Atınç Yılmaz,5.0,2,51.49
"Yeni Başlayanlar İçin HTML5, CSS3 ve Javascript: A ’Dan Z’Ye Web Programlama",Fahrettin Erdinç,4.0,11,73.07
Peppa Pig: 123 with Peppa,Peppa Pig,4.8,512,71.93
Python Sıfırdan Uzmanlığa Programlama,Atıl Samancıoğlu,4.7,8,116.39
"Python Öğreniyorum: Oku, İzle, Dinle, Öğren!",Gökhan Su,2.5,3,28.61
Building a Storybrand: Clarify Your Message So Customers Will Listen,Donald Miller,4.7,2786,373.52
Why Social Media is Ruining Your Life,Katherine Ormerod,4.3,116,133.28
"The Ultimate Roblox Book: An Unofficial Guide: Learn How to Build Your Own Worlds, Customize Your Games, and So Much More!",David Jagneaux,4.5,872,164.17
R ile Uygulamalı İstatistik: Çözümlü Örneklerle,İbrahim Demir,5.0,1,87.64
Microservice Patterns: With examples in Java,Mr Chris Richardson,4.7,297,504.37
"Blood, Sweat, and Pixels: The Triumphant, Turbulent Stories Behind How Video Games are Made",Jason Schreier,4.8,905,157.52
The Visual MBA: A Quick Guide to Everything You’ll Learn in Two Years of Business School,Jason Barron,4.5,265,283.88
Theory of Fun for Game Design,Raph Koster,4.6,211,607.54
Danganronpa Another Episode: Ultra Despair Girls Volume 3,Hajime Touya,4.9,95,134.12
Peppa Pig: Peppa's Busy Day,Peppa Pig,4.7,355,149.81
Peppa Pig: Practise with Peppa: First Phonics: Sticker Activity Book,Peppa Pig,4.5,232,74.81
Sağlıkta Dijital Dönüşüm-Yapay Zeka (AI) ve Nesnelerin İnterneti (IoT),Jülide Güzin Karagöz,3.4,3,17.0
"ALGORİTMA VE PROGRAMLAMA MANTIĞI: Oku, İzle, Dinle, Öğren",Kolektif,3.5,2,60.0
The Art Of The Last Of Us Part Ii,Naughty Dog,4.8,2229,331.9
The Art of Supercell: 10th Anniversary Edition,Supercell,4.8,75,617.78
Uygulamalarla Java Veri Yapıları: JCF (Java Collections Framework),Timur Karaçay,1.0,2,48.91
Microsoft Excel 2019 VBA and Macros (Business Skills),Bill Jelen,4.5,159,570.26
"The Phoenix Project: A Novel about It, Devops, and Helping Your Business Win",Gene Kim,4.7,2517,226.24
Effective Java,Joshua Bloch,4.7,811,620.44
The Road to Conscious Machines: The Story of AI,Michael Wooldridge,4.6,44,206.06
Programlama Dillerinin Prensipleri: Mantığı Kavra >> İşleyişi Öğren >> Kodu Yaz,Nejat Yumuşak-Muhammed Fatih Adak,4.0,1,108.0
Sane New World: Taming the Mind,Ruby Wax,4.5,946,246.67
"The Art of Memory Forensics: Detecting Malware and Threats in Windows, Linux, and Mac Memory",Michael Hale Ligh,4.8,111,904.34
"Practical Reverse Engineering: x86, x64, ARM, Windows Kernel, Reversing Tools, and Obfuscation",Bruce Dang,4.6,114,846.99
"Deep Learning with Python, Second Edition",François Chollet,4.8,14,867.85
ALGORİTMA: Uygulamalı Algoritma Kılavuzu,Kadir Çamoğlu,5.0,1,44.28
The Everything Store: Jeff Bezos and the Age of Amazon,Brad Stone,4.6,1305,144.83
Effective TypeScript: 62 Specific Ways to Improve Your TypeScript,Dan Vanderkam,4.6,71,569.58
Building Microservices: Designing Fine-Grained Systems,Sam Newman,4.8,36,866.29
